country,happiness_2019,happiness_2025,d_happiness,gdp_2019,gdp_2025,d_gdp,social_2019,social_2025,d_social,health_2019,health_2025,d_health,freedom_2019,freedom_2025,d_freedom,generosity_2019,generosity_2025,d_generosity,corruption_2019,corruption_2025,d_corruption,unexplained_2019,unexplained_2025,d_unexplained,d_measured_sum
Poland,6.1862998008728,6.768,0.5817001991271997,1.16922914981842,1.851,0.68177085018158,1.31039977073669,1.479,0.1686002292633102,0.868038475513458,0.693,-0.17503847551345808,0.557903528213501,0.945,0.387096471786499,0.0633742436766624,0.023,-0.040374243676662404,0.160541251301765,0.177,0.016458748698234993,2.05679798126221,1.6,-0.45679798126221005,1.0385135807395038
Colombia,6.16340017318726,6.04,-0.12340017318726026,0.932203710079193,1.586,0.6537962899208071,1.3344509601593,1.374,0.03954903984070013,0.81002014875412,0.63,-0.18002014875411998,0.52689003944397,0.915,0.3881099605560301,0.0923740938305855,0.042,-0.05037409383058549,0.0458483695983887,0.051,0.005151630401611297,2.42165660858154,1.441,-0.9806566085815398,0.8562126781344431
Cyprus,6.15899991989136,6.126,-0.03299991989135975,1.21279942989349,1.892,0.6792005701065098,1.14917075634003,1.215,0.06582924365997012,1.02612459659576,0.953,-0.07312459659575998,0.459385871887207,0.794,0.33461412811279306,0.227932333946228,0.086,-0.141932333946228,0.0512071438133717,0.07,0.018792856186628307,2.03233480453491,1.116,-0.9163348045349098,0.8833798675239134
Nicaragua,6.13710021972656,6.301,0.16389978027344032,0.620033144950867,1.32,0.699966855049133,1.27081274986267,1.349,0.07818725013732997,0.803093254566193,0.74,-0.06309325456619297,0.560117304325104,1.03,0.46988269567489604,0.212871477007866,0.097,-0.11587147700786599,0.174084573984146,0.278,0.10391542601585402,2.49608111381531,1.487,-1.0090811138153097,1.172987495303154
Romania,6.12370014190674,6.629,0.5052998580932595,1.12040162086487,1.818,0.6975983791351301,1.19443809986115,1.233,0.03856190013885019,0.792294859886169,0.608,-0.184294859886169,0.53485232591629,0.965,0.43014767408371,0.0681816190481186,0.03,-0.038181619048118606,0.000829568831250072,0.034,0.03317043116874993,2.41274976730347,1.941,-0.47174976730346985,0.9770019055921527
Kuwait,6.10209989547729,6.543,0.44090010452271056,1.42483365535736,1.862,0.43716634464264015,1.24477982521057,1.316,0.0712201747894301,0.776468932628632,0.88,0.10353106737136797,0.570261418819427,1.031,0.46073858118057287,0.13275109231472,0.11,-0.022751092314719987,0.1128149330616,0.167,0.054185066938400014,1.84016799926758,1.177,-0.6631679992675799,1.104090142607691
Mauritius,6.10129976272583,5.939,-0.16229976272583002,1.07366394996643,1.707,0.6333360500335701,1.39566683769226,1.384,-0.011666837692260179,0.763389408588409,0.704,-0.05938940858840902,0.590838134288788,0.926,0.3351618657112121,0.186894550919533,0.092,-0.094894550919533,0.0840882286429405,0.127,0.04291177135705951,2.00672054290771,0.999,-1.0077205429077098,0.8454588899016394
Kazakhstan,6.05789995193481,6.633,0.57510004806519,1.12259423732758,1.782,0.6594057626724201,1.45326769351959,1.599,0.1457323064804099,0.698788940906525,0.552,-0.14678894090652495,0.497432142496109,0.982,0.484567857503891,0.153713792562485,0.117,-0.036713792562484984,0.110463686287403,0.104,-0.0064636862874030004,2.02160263061523,1.496,-0.5256026306152299,1.0997395069003082
Estonia,6.02180004119873,6.41,0.38819995880127056,1.19244122505188,1.824,0.63155877494812,1.45323252677917,1.604,0.15076747322083017,0.842615008354187,0.692,-0.15061500835418706,0.576664805412292,0.99,0.41333519458770795,0.125136747956276,0.105,-0.020136747956276,0.201766818761826,0.353,0.15123318123817397,1.62992811203003,0.842,-0.78792811203003,1.176142867684369
Philippines,6.00600004196167,6.206,0.19999995803833048,0.775120675563812,1.413,0.637879324436188,1.24538171291351,1.285,0.039618287086489845,0.602189481258392,0.286,-0.316189481258392,0.62191516160965,1.085,0.46308483839035,0.129260212182999,0.088,-0.041260212182998995,0.130385726690292,0.095,-0.035385726690291996,2.50174188613892,1.953,-0.5487418861389199,0.7477470297813449
Hungary,6.00040006637573,5.937,-0.06340006637572948,1.16430711746216,1.819,0.65469288253784,1.42300939559937,1.625,0.2019906044006301,0.806793868541718,0.633,-0.17379386854171797,0.386401802301407,0.785,0.398598197698593,0.0704912394285202,0.103,0.03250876057147979,0.0275481734424829,0.056,0.0284518265575171,2.12184572219849,0.916,-1.20584572219849,1.142448403224342
